id,description,name,name_with_namespace,path,path_with_namespace,created_at,default_branch,tag_list,topics,ssh_url_to_repo,http_url_to_repo,web_url,readme_url,forks_count,avatar_url,star_count,last_activity_at,namespace.id,namespace.name,namespace.path,namespace.kind,namespace.full_path,namespace.parent_id,namespace.avatar_url,namespace.web_url
11313,"The P4CH–LNLS is a standalone, high-resolution, four-channel picoammeter. The channels are independent; each features an eight-range transimpedance amplifier (I-V amplifier) and 24-bit resolution, delta-sigma ADC with ten selectable sampling frequencies that reach up to 2000 samples per second. The hardware’s input stage was designed to be biased up to 400 V by an external high-voltage power supply. Edge-sensitive trigger signals allow for synchronization of data acquisition with external events or other devices. Input and output ADC clock connectors are also available on the device, which may be beneficial for applications requiring multiple and synchronized P4CH-LNLS with strict timing requirements. NXP Semiconductors’ cortex M3 microcontroller, the LPC1768, manages these features and stores the calibration data on an external EEPROM. The microcontroller and the user communicate through a 10/100 Mbps Ethernet link.",Quad-Channel Digital Pico ammeter,Projects / Quad-Channel Digital Pico ammeter,P4CH-LNLS,project/P4CH-LNLS,2025-01-13T17:25:58.519Z,main,[],[],ssh://git@ohwr.org:7999/project/P4CH-LNLS.git,https://ohwr.org/project/P4CH-LNLS.git,https://ohwr.org/project/P4CH-LNLS,https://ohwr.org/project/P4CH-LNLS/-/blob/main/README.md,0.0,,0,2025-01-13T17:29:23.124Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11312,"A project to host all software and hardware developments related to
testing the White Rabbit switch.

",White Rabbit Switch - Testing,Maciej Sumiński / White Rabbit Switch - Testing,wr-switch-testing,orsonmmz/wr-switch-testing,2025-01-13T12:24:00.290Z,master,[],[],ssh://git@ohwr.org:7999/orsonmmz/wr-switch-testing.git,https://ohwr.org/orsonmmz/wr-switch-testing.git,https://ohwr.org/orsonmmz/wr-switch-testing,https://ohwr.org/orsonmmz/wr-switch-testing/-/blob/master/README,0.0,,0,2025-01-13T12:24:00.095Z,9304,Maciej Sumiński,orsonmmz,user,orsonmmz,,/uploads/-/system/user/avatar/9298/mugshot.png,https://ohwr.org/orsonmmz
11311,,White Rabbit Timing System,Projects / White Rabbit Timing System,wrt,project/wrt,2025-01-09T13:30:57.847Z,main,[],[],ssh://git@ohwr.org:7999/project/wrt.git,https://ohwr.org/project/wrt.git,https://ohwr.org/project/wrt,,0.0,,0,2025-01-10T14:33:37.609Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11310,,WREN,Projects / WREN,wren,project/wren,2025-01-09T13:27:17.134Z,master,[],[],ssh://git@ohwr.org:7999/project/wren.git,https://ohwr.org/project/wren.git,https://ohwr.org/project/wren,https://ohwr.org/project/wren/-/blob/master/README.md,0.0,,0,2025-02-03T09:51:07.224Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11308,"4-channel 16-bit 210 MS/s ADC (LTC2107) FMC module.
[More info at the Wiki
page](https://www.ohwr.org/project/fmc-adc-210m-16b-4cha/wiki)",FMC ADC 210M 16b 4cha,Projects / FMC ADC 210M 16b 4cha,fmc-adc-210m-16b-4cha,project/fmc-adc-210m-16b-4cha,2024-09-02T08:10:39.318Z,master,[],[],ssh://git@ohwr.org:7999/project/fmc-adc-210m-16b-4cha.git,https://ohwr.org/project/fmc-adc-210m-16b-4cha.git,https://ohwr.org/project/fmc-adc-210m-16b-4cha,,0.0,,0,2024-10-02T10:11:01.461Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11307,"Idrogen is an Arria10 FPGA board with FMC mezzanine.

PCB design is performed by IJCLab / CNRS-IN2P3.
Firmware is developed by Observatoire Radioastronomique de Nançay (ORN) / Observatoire de Paris/ CNRS-INSU",Idrogen,Projects / Idrogen,idrogen,project/idrogen,2024-08-12T12:52:19.087Z,master,[],[],ssh://git@ohwr.org:7999/project/idrogen.git,https://ohwr.org/project/idrogen.git,https://ohwr.org/project/idrogen,https://ohwr.org/project/idrogen/-/blob/master/README.md,0.0,,2,2025-01-30T16:28:50.165Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11306,"The PandABox II Project is a collaboration between ALBA, DESY, DIAMOND, MAXIV, and SOLEIL,  to enhance the existing  “Position and Acquisition” processing platform called PandABox II. It will provide a New processor Zynq Ultrascale, more configurable I/O, more SFP, and supporting multiple encoder standards (incremental, SSI, BISS...). It will deliver synchronous triggering and data capture capabilities.",PandABox II,Projects / PandABox II,PandaBox2,project/PandaBox2,2024-08-07T15:21:59.460Z,main,[],[],ssh://git@ohwr.org:7999/project/PandaBox2.git,https://ohwr.org/project/PandaBox2.git,https://ohwr.org/project/PandaBox2,https://ohwr.org/project/PandaBox2/-/blob/main/README.md,0.0,,0,2024-12-04T09:14:25.030Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11303,"The Analogue GIRAPH is an active 19"" patch panel that provides 32 single ended or 16 diff. analogue inputs and 8 channels single-ended analogue output. [More info at the Wiki page](https://ohwr.org/project/analogue-giraph/-/wikis/HOME)",Analogue GIRAPH,Projects / Analogue GIRAPH,analogue-giraph,project/analogue-giraph,2024-06-11T11:31:42.862Z,main,[],[],ssh://git@ohwr.org:7999/project/analogue-giraph.git,https://ohwr.org/project/analogue-giraph.git,https://ohwr.org/project/analogue-giraph,https://ohwr.org/project/analogue-giraph/-/blob/main/README.md,0.0,,0,2024-09-23T15:13:24.818Z,8136,Projects,project,group,project,,,https://ohwr.org/groups/project
11302,Firmware(gateware) for FPGA on AIDA-Innova TLU ( AIDAInnova_TLU ),AIDAInnova_TLU-gw,David Cussans / AIDAInnova_TLU-gw,aidainnova_tlu-gw,cussans/aidainnova_tlu-gw,2024-06-04T16:30:22.453Z,master,[],[],ssh://git@ohwr.org:7999/cussans/aidainnova_tlu-gw.git,https://ohwr.org/cussans/aidainnova_tlu-gw.git,https://ohwr.org/cussans/aidainnova_tlu-gw,https://ohwr.org/cussans/aidainnova_tlu-gw/-/blob/master/README.md,0.0,,0,2024-10-10T11:06:48.316Z,8964,David Cussans,cussans,user,cussans,,https://secure.gravatar.com/avatar/aa079cd252f36f6551473a7657d38692fcc45877d317b104ce2b69526e054376?s=80&d=identicon,https://ohwr.org/cussans
11300,"A Trigger/Timing Logic Unit to synchronize devices at beam test
A successor to the AIDA(2020) TLU (https://ohwr.org/project/fmc-mtlu)
This is an ""umbrella"" project with documentation, pointing to the projects with the hardware and firm(gate)ware",AIDAInnova_TLU,David Cussans / AIDAInnova_TLU,aidainnova_tlu,cussans/aidainnova_tlu,2024-06-03T09:49:32.293Z,master,[],[],ssh://git@ohwr.org:7999/cussans/aidainnova_tlu.git,https://ohwr.org/cussans/aidainnova_tlu.git,https://ohwr.org/cussans/aidainnova_tlu,https://ohwr.org/cussans/aidainnova_tlu/-/blob/master/README.md,0.0,,0,2024-06-07T12:20:02.312Z,8964,David Cussans,cussans,user,cussans,,https://secure.gravatar.com/avatar/aa079cd252f36f6551473a7657d38692fcc45877d317b104ce2b69526e054376?s=80&d=identicon,https://ohwr.org/cussans
