Comment,Designator,Footprint
10pF,"C1, C3",C_0402_1005Metric
100nF,"C10, C17, C2, C25, C5, C6, C9",C_0402_1005Metric
"10uF, 50V","C11, C14",C_0805_2012Metric
"100nF, X7R",C12,C_0402_1005Metric
"100nF, 50V",C13,C_0402_1005Metric
"220nF, 50V",C15,C_0805_2012Metric
"1uF, 16V, X7R",C16,C_0805_2012Metric
"100nF, 16V",C18,C_0402_1005Metric
"22uF, 16V","C19, C20",C_0603_1608Metric
"1uF, X7R",C21,C_0805_2012Metric
"2.2uF, X7R",C22,C_0402_1005Metric
100pF,"C26, C27",C_0402_1005Metric
1uF,C4,C_0402_1005Metric
4.7uF,C7,C_0402_1005Metric
LED,"D1, D2",LED_0603_1608Metric
ACT1210D-101-2P-TL00,FL1,ACT1210D1012PTL00
Conn_01x06_MountingPin,J5,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal
27nH,L1,L_0402_1005Metric
1.5 uH,L2,L_1008_2520Metric
10k,"R1, R11",R_0402_1005Metric
100k,"R12, R5",R_0402_1005Metric
430,"R2, R3",R_0402_1005Metric
ERJ-B1CFR10U,R4,ERJB1_(1020)
24k,R6,R_0603_1608Metric
900,R7,R_0402_1005Metric
120,R8,C_0402_1005Metric
STM32G0B1CBTx,U1,LQFP-48_7x7mm_P0.5mm
LMR33630CDDA,U2,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias
TJA1051T-3,U3,SOIC-8_3.9x4.9mm_P1.27mm
TLV76733DRVx,U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias
W25Q128JVS,U6,SOIC-8_5.23x5.23mm_P1.27mm
DRV8251DDAR,U7,SOIC127P600X170-9N
25 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm
