Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C2, C3",0603,5,1uF,C15849
"C10, C12, C14, C15, C4, C7, C8, C9",0603,8,100nF,C1591
"C5, C6",0603,2,15pF,C107037
D1,0603,1,LED,C965807
F1,1206,1,500mA,C220146
J1,USB_TYPEC_PLUG_12P,1,USB_C_Receptacle_USB2.0,C2879827
R2,0603,1,1k,C22548
"R3, R4",0603,2,27,C137753
R5,0603,1,2k2,C114662
R7,0603,1,5.1k,C105580
"SW1, SW2, SW3, SW4, SW6, SW7, SW8, SW9",SW_SPST_TL3342,8,SW_Push,C2762971
"SW10, SW5",Panasonic_EVQPUM_EVQPUD,2,SW_Push, C388642
"SW11, SW12, SW13, SW14",SW_SPST_B3U-1000P-B,4,SW_Push,C231329
U1,SOT-23-5,1,AP2112K-3.3,C51118
U2,SOT-666,1,USBLC6-2P6,C2827693
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q64JVZPIQ,C2940197
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040, C2040
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
