Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,22uF,C98190
C4,0603,1,100nF,C3011705
"C5, C6, C7, C8",0805,4,10uF,C326595
D2,D_SOD-123F,1,MBR120,C81143
"D3, D4",D_SOD-123F,2,SMF6.0A,C19077499
"D5, D7",D_SMB_Min_Silk,2,MBRS1100,C82068
D6,D_SOD-323_HandSoldering,1,D_TVS_Unidirectional_Generic,C20617916
IC1,SOTFL50P160X60-6N,1,TPS61023,C919459
"J4, J6",PH2PWB,2,PH-2PWB,C2905019
L1,XEL4030102MEC,1,XEL4030-102MEC,C5441341
"LED1, LED3",0603,2,LED_R,C2286
LED2,0603,1,LED_W,C2290
Q1,SOT-23,1,BSS138,C40912
Q2,SOT-23,1,AO3400A,C20917
R1,0603,1,10K,C98220
"R10, R12",0603,2,2KΩ,C22975
"R11, R13, R3, R6",0603,4,100K,C14675
R2,0603,1,732K,C246003
"R4, R5, R8",0805,3,10K,C17414
R7,0603,1,1.5KΩ,C114668
R9,0603,1,150Ω,C114608
S1,SW_TL1105DF160Q,1,TL1105DF160Q,C273469
U1,BATT_Charger_SOT-23-5_Min_Silk,1,MCP73831T-2ACI/OT,C424093
