Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C19, C23, C26, C29, C35, C8, C9",0402,10,100nF,C343047
"C10, C14, C15, C2, C20, C32, C33, C5, C6, C7",0603,10,1uF,C1592
C11,0402,1,10uF,C315248
"C16, C17",0201,2,1.8pF,C161415
"C18, C22, C24, C25, C27, C28, C30, C34, C36, C37",0402,10,22uF,C6119813
"C21, C31",0402,2,6.8pF,C1576
C3,0402,1,15pF,C1852854
C4,0402,1,12pF,C882545
"DS2, DS3",0603,2,GREEN,C125098
IC1,QFN40P700X700X90-57N-D,1,ESP32-S3R8,C2913194
J1,TF PUSH,1,Micro_SD_Card_Det_Hirose_DM3AT,C393941
J2,USB_C_Receptacle_HCTL_HC019-1E1H1A103-0HR,1,USB C,C2894918
J8,33FXRH-SM1-GAN-TF,1,33FXRH-SM1-GAN-TF,C2890488
L1,0402,1,22nH,C15178
L2,0402,1,2nH,C279790
L3,0201,1,2.7nH,C98043
"L4, L5",BR2518_YDN,2,1uH,C524998
"R1, R10, R12, R2, R20, R3, R4, R7",0402,8,10k,C25531
"R11, R13, R14",0402,3,100k,C25741
"R16, R23",0603,2,1k,C844746
R17,0402,1,22k,C25768
"R18, R19, R32",0402,3,0R,C17168
"R5, R6",0402,2,4k99,C137965
R9,0402,1,64k9,C490835
"SW1, SW2, SW3",B3U-1000P,3,B3U-1000P,C231329
U1,SOIC-8W_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C113767
"U2, U4",SOT95P285X130-5N,2,SY8089A1AAC,C479074
U5,SOT-23-6,1,USBLC6-2SC6,C7519
Y1,SMD32324-4P,1,40MHz,C9010
