"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C32,C33,C52,C58,C60,C65,C66,C67,C74,C195,C199,C200,C203,C206,C208,C209,C215,C217,C45,C82,C83,C207,C186,C1,C2,C3,C4,C6,C7,C8,C9,C11,C12,C13,C14,C15,C17,C18,C19,C20,C23,C24,C25,C29,C30,C31,C34,C46,C50,C51,C72,C73,C79,C80,C109,C110,C115,C117,C127,C130,C132,C134,C155,C156,C158,C177,C189,C191,C197,C210,C216,C86,C87,C22,C39,C123,C28";"C_0402_5MIL_DWS";77;"100nF/10V/X5R/20%";;;
2;"C48,C62,C84,C85";"C_0402_5MIL_DWS";4;"33pF\50V/5%";;;
3;"C49,C57,C124,C129,C131,C136,C139,C140,C141,C143,C144,C146,C150,C154,C169,C172,C175,C166,C138,C122,C47,C63,C10,C16,C21,C26,C53,C54,C59,C116,C121,C125,C126,C128,C133,C145,C147,C148,C149,C152,C153,C157,C159,C161,C162,C164,C165,C167,C168,C170,C173,C176,C178,C179,C188,C192,C194,C5,C171,C151";"C_0603_5MIL_DWS";60;"10uF/6.3V/20%";;;
4;"C68,C71,C75,C78,C202,C64,C118,C119,C180,C201";"C_0805_5MIL_DWS";10;"47uF\6.3V/20%";;;
5;"C69,C70,C76,C77";"C_0805_5MIL_DWS";4;"NA(47uF\6.3V/20%)";;;
6;"C91,C89,C174";"C_0603_5MIL_DWS";3;"NA(10uF\6.3V/20%)";;;
7;"C92,C90,C81";"C_0402_5MIL_DWS";3;"NA(100nF\10V/10%)";;;
8;"C163,C182,C55,C120,C135,C137,C142,C160,C181,C190,C211,C27";"C_0603_5MIL_DWS";12;"1uF/10V/10%";;;
9;"C185,C187,C213,C212";"C_0402_5MIL_DWS";4;"27pF\50V/5%";;;
10;"C193";"C_0402_5MIL_DWS";1;"NA(1nF\50V/10%)";;;
11;"CHGLED1";"LED_0603_KA";1;"LED\YELLOW/0603";;;
12;"D2";"SMA-KA";1;"1N5822\SS34/SMA";;;
13;"DBG_UART1";"HN1x3";1;"HN1x3";;;
14;"HEADPHONES/LINEOUT1,MIC/LINEIN1";"SCJ325P00XG0B02G";2;"SCJ325P00XG0B02G";;;
15;"L3,L4,L5,L6,L8,L21,L23,L24,L2";"L_0805_5MIL_DWS";9;"UPZ2012E-601-2R0TF/600R/2A";;;
16;"L14,L19,L20";"CD32";3;"SWPA3015S1R5NT(1.5uH\2.30A/DCR<0.1R/CD32)";;;
17;"L15,L17,L18";"CD42(43)";3;"SWPA4018S1R5NT(1.5uH\3.35A/DCR<0.1R/CD43)";;;
