"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TVS2,TVS1";"SOT-23-5";2;"ESDS314DBVR(SOT-23-5)";;;
2;"D3,D4";"SOD-123_1C-2A_KA";2;"1N5819(S4SOD-123)";;;
3;"USB-OTG1";"USB-MICRO_MISB-SWMM-5B_LF_Past";1;"MISB-SWMM-5B-LF";;;
4;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
5;"5V_E1";"SJ_1_SMALLER";1;"Opened";;;
6;"U16";"SOT-23";1;"SSP61CN4502MR";;;
7;"R24,R20,R37,R40,R42,R85,R83,R95,R76,R79,R31,R52,R21,R23,R99,R106,R119,R67";"R_0402_5MIL_DWS";18;"10k";;;
8;"R22";"R_0402_5MIL_DWS";1;"1M";;;
9;"FET4,FET1";"SOT23";2;"BSS138(SOT23-3)";;;
10;"FET3,FET2";"SOT23";2;"IRLML6402(SOT-23)";;;
11;"Q4";"TSX-3.2x2.5mm_GND(3)";1;"ABM8-25.000MHZ-D2Y-T";;;
12;"HDMI1";"HDMI-SWM-19_Paste";1;"HDMI-SWM-19";;;
13;"Q3";"TSX-3.2x2.5mm_GND(3)";1;"ABM8-24.000MHZ-D2Y-T";;;
14;"FID4,FID6,FID3,FID1";"Fiducial1x3_transp";4;"";;;
15;"FID5,FID2";"Fiducial1x3_Past";2;"";;;
16;"U11";"RL-SM02BD(RTL8723BS)";1;"NA(RTL8723BS(ComboModule))";;;
17;"C106";"C_0402_5MIL_DWS";1;"NA(0.8pF\C0402)";;;
18;"L10";"L_0402_5MIL_DWS";1;"NA(3.3nH +-0.1nH LQP15MN3N3B02D)";;;
19;"LAN1";"TM211Q01FM22";1;"TM211Q01FM22";;;
20;"Q2";"CM7V-T1A(Crystal_Package-1206_3.20x1.50x0.65mm)";1;"Q32.768kHz/12.5pF/2P/SMD1206";;;
21;"U2,U3";"FBGA96(HYNIX_SAMSUNG_512MX16_DDR3)";2;"K4B8G1646D-MYK0 (8Gb 512MBx16)IND";;;
22;"UBOOT1,RESET1,PWRON1";"IT1185AU2_V2";3;"IT-1185AU2-160G-G-TR";;;
23;"R15,R73,R54";"R_0402_5MIL_DWS";3;"NA(22R)";;;
24;"U4";"SOIC-8_150mil";1;"AT24C16C-SSHM-T(SOIC-8_150mil)";;;
