project_name,file_name,file_size,file_downloads
air quality motherboard for sensor.community project,Carte Support Luftdaten v1r1.pdf,2.67 MB,125
air quality motherboard for sensor.community project,copper_bottom.gbl,22.06 kB,122
air quality motherboard for sensor.community project,copper_bottom.gbr,22.06 kB,124
air quality motherboard for sensor.community project,copper_top.gbr,21.97 kB,126
air quality motherboard for sensor.community project,copper_top.gtl,21.97 kB,129
air quality motherboard for sensor.community project,drills.xln,2.71 kB,129
air quality motherboard for sensor.community project,gerber_job.gbrjob,572 B,128
air quality motherboard for sensor.community project,luftdaten_v1r1.brd,214.65 kB,127
air quality motherboard for sensor.community project,luftdaten_v1r1.lbr,656.86 kB,157
air quality motherboard for sensor.community project,luftdaten_v1r1.sch,880.76 kB,124
air quality motherboard for sensor.community project,profile.gbr,6.67 kB,124
air quality motherboard for sensor.community project,profile.gko,6.67 kB,130
air quality motherboard for sensor.community project,schematic_uftdaten_v1r1.pdf,22.55 kB,147
air quality motherboard for sensor.community project,silkscreen_bottom.gbo,948.07 kB,125
air quality motherboard for sensor.community project,silkscreen_bottom.gbr,948.07 kB,125
air quality motherboard for sensor.community project,silkscreen_top.gbr,962.39 kB,122
air quality motherboard for sensor.community project,silkscreen_top.gto,962.39 kB,130
air quality motherboard for sensor.community project,soldermask_bottom.gbr,6.42 kB,127
air quality motherboard for sensor.community project,soldermask_bottom.gbs,6.42 kB,127
air quality motherboard for sensor.community project,soldermask_top.gbr,5.92 kB,121
air quality motherboard for sensor.community project,soldermask_top.gts,5.92 kB,126
air quality motherboard for sensor.community project,solderpaste_bottom.gbr,699 B,144
air quality motherboard for sensor.community project,solderpaste_top.gbr,395 B,126
MSN - MySensors Nodes,LICENSE.txt,19.67 kB,159
MSN - MySensors Nodes,info.txt,58 B,155
MSN - MySensors Nodes,msn-cache.lib,10.47 kB,153
MSN - MySensors Nodes,msn.kicad_pcb,315.38 kB,168
MSN - MySensors Nodes,msn.pro,3.72 kB,159
MSN - MySensors Nodes,msn.sch,26.79 kB,165
MSN - MySensors Nodes,msn_pcb.pdf,32.5 kB,109
MSN - MySensors Nodes,msn_sch.pdf,92.02 kB,146
M2BLPT,M2BLPT_Schematic.pdf,174.25 kB,70
M2BLPT,M2BLPT.G2L,67.37 kB,161
M2BLPT,M2BLPT.G3L,98.75 kB,155
M2BLPT,M2BLPT.GBL,103.08 kB,158
M2BLPT,M2BLPT.GBO,13.43 kB,152
M2BLPT,M2BLPT.GBP,8.8 kB,156
M2BLPT,M2BLPT.GBS,26.12 kB,163
M2BLPT,M2BLPT.GKO,1.12 kB,162
M2BLPT,M2BLPT.GTL,260.43 kB,157
M2BLPT,M2BLPT.GTO,31.26 kB,155
M2BLPT,M2BLPT.GTP,93.9 kB,166
M2BLPT,M2BLPT.GTS,126.99 kB,157
M2BLPT,M2BLPT.XLN,2.68 kB,158
USB Temperature sensor interface,usb-temp-B_Cu.gbr,65.04 kB,219
USB Temperature sensor interface,usb-temp-B_Mask.gbr,3.85 kB,192
USB Temperature sensor interface,usb-temp-B_Paste.gbr,2.87 kB,203
USB Temperature sensor interface,usb-temp-B_SilkS.gbr,20.73 kB,210
USB Temperature sensor interface,usb-temp-Edge_Cuts.gbr,639 B,218
USB Temperature sensor interface,usb-temp-F_Cu.gbr,70.66 kB,206
USB Temperature sensor interface,usb-temp-F_Mask.gbr,2.67 kB,190
USB Temperature sensor interface,usb-temp-F_Paste.gbr,1.7 kB,198
USB Temperature sensor interface,usb-temp-F_SilkS.gbr,24.75 kB,213
USB Temperature sensor interface,usb-temp-In1_Cu.gbr,44.55 kB,194
USB Temperature sensor interface,usb-temp-In2_Cu.gbr,54.48 kB,208
USB Temperature sensor interface,usb-temp-NPTH.drl,33 B,197
USB Temperature sensor interface,usb-temp-PTH.drl,923 B,201
USB Temperature sensor interface,usb-temp-User_Comments.gbr,441 B,216
Syma S107 Bluetooth control mod,ble-copter.pdf,142.17 kB,226
"Epi 32U4 Arduino-compatible, 4-layer version",epi.kicad_pcb,705.42 kB,1620
"Epi 32U4 Arduino-compatible, 4-layer version",licence.pdf,72.28 kB,214
Pinect Hand-Free Game Console,pinect-box-19.stl,501.45 kB,264
Pinect Hand-Free Game Console,pcb.dip,431.63 kB,267
Pinect Hand-Free Game Console,scheme.dch,423.79 kB,281
VikingCube-Midi,COVER-vcer-midi-to-cv-B_SilkS.gbr,2.93 kB,259
VikingCube-Midi,COVER-vcer-midi-to-cv-Edge_Cuts.gbr,1019 B,248
VikingCube-Midi,COVER-vcer-midi-to-cv-F_Mask.gbr,1.56 kB,259
VikingCube-Midi,COVER-vcer-midi-to-cv-F_Cu.gbr,67.41 kB,246
VikingCube-Midi,COVER-vcer-midi-to-cv-F_Paste.gbr,477 B,260
VikingCube-Midi,COVER-vcer-midi-to-cv-F_SilkS.gbr,49.61 kB,248
VikingCube-Midi,COVER-vcer-midi-to-cv-B_Cu.gbr,67.41 kB,246
VikingCube-Midi,COVER-vcer-midi-to-cv-B_Mask.gbr,1.56 kB,251
VikingCube-Midi,COVER-vcer-midi-to-cv-B_Paste.gbr,477 B,264
VikingCube-Midi,FRONT-vcer-midi-to-cv-F_Paste.gbr,1.49 kB,272
VikingCube-Midi,FRONT-vcer-midi-to-cv-F_SilkS.gbr,26.18 kB,256
VikingCube-Midi,FRONT-vcer-midi-to-cv-In1_Cu.gbr,4.75 kB,249
VikingCube-Midi,FRONT-vcer-midi-to-cv-In2_Cu.gbr,4.75 kB,256
VikingCube-Midi,FRONT-vcer-midi-to-cv-B_Mask.gbr,3.84 kB,263
VikingCube-Midi,FRONT-vcer-midi-to-cv-B_Paste.gbr,1.4 kB,250
VikingCube-Midi,FRONT-vcer-midi-to-cv-B_Cu.gbr,190.66 kB,273
VikingCube-Midi,FRONT-vcer-midi-to-cv-B_SilkS.gbr,24.35 kB,273
VikingCube-Midi,FRONT-vcer-midi-to-cv-Edge_Cuts.gbr,654 B,260
VikingCube-Midi,FRONT-vcer-midi-to-cv-F_Mask.gbr,3.92 kB,251
VikingCube-Midi,FRONT-vcer-midi-to-cv-F_Cu.gbr,247.34 kB,260
VikingCube-Midi,BACK-vcer-midi-to-cv-Edge_Cuts.gbr,690 B,257
VikingCube-Midi,BACK-vcer-midi-to-cv-B_SilkS.gbr,34.38 kB,253
VikingCube-Midi,BACK-vcer-midi-to-cv-F_Mask.gbr,9.47 kB,253
VikingCube-Midi,BACK-vcer-midi-to-cv-F_Paste.gbr,7.63 kB,261
VikingCube-Midi,BACK-vcer-midi-to-cv-F_Cu.gbr,314.39 kB,275
VikingCube-Midi,BACK-vcer-midi-to-cv-F_SilkS.gbr,74.5 kB,248
VikingCube-Midi,BACK-vcer-midi-to-cv-In2_Cu.gbr,12.06 kB,255
VikingCube-Midi,BACK-vcer-midi-to-cv-In1_Cu.gbr,213.19 kB,256
VikingCube-Midi,BACK-vcer-midi-to-cv-B_Mask.gbr,7.13 kB,247
VikingCube-Midi,BACK-vcer-midi-to-cv-B_Cu.gbr,283.41 kB,277
VikingCube-Midi,BACK-vcer-midi-to-cv-B_Paste.gbr,5.29 kB,253
VikingCube-WT,COVER-wt-Edge_Cuts.gbr,998 B,229
VikingCube-WT,COVER-wt-B_SilkS.gbr,2.85 kB,237
VikingCube-WT,COVER-wt-F_Mask.gbr,2.7 kB,237
VikingCube-WT,COVER-wt-F_Cu.gbr,218.32 kB,232
VikingCube-WT,COVER-wt-F_Paste.gbr,464 B,229
VikingCube-WT,COVER-wt-In1_Cu.gbr,468 B,232
VikingCube-WT,COVER-wt-F_SilkS.gbr,65.25 kB,235
VikingCube-WT,COVER-wt-In2_Cu.gbr,468 B,231
VikingCube-WT,COVER-wt-B_Cu.gbr,468 B,246
VikingCube-WT,COVER-wt-B_Mask.gbr,2.7 kB,229
VikingCube-WT,COVER-wt-B_Paste.gbr,464 B,247
VikingCube-WT,FRONT-wt-F_Mask.gbr,11.78 kB,232
VikingCube-WT,FRONT-wt-F_Paste.gbr,6.1 kB,229
VikingCube-WT,FRONT-wt-F_Cu.gbr,743.63 kB,236
VikingCube-WT,FRONT-wt-F_SilkS.gbr,95.45 kB,229
VikingCube-WT,FRONT-wt-In1_Cu.gbr,570.58 kB,245
VikingCube-WT,FRONT-wt-In2_Cu.gbr,571.17 kB,243
VikingCube-WT,FRONT-wt-B_Mask.gbr,12.4 kB,232
VikingCube-WT,FRONT-wt-B_Paste.gbr,6.51 kB,229
VikingCube-WT,FRONT-wt-B_Cu.gbr,621.04 kB,236
VikingCube-WT,FRONT-wt-B_SilkS.gbr,68.82 kB,231
VikingCube-WT,FRONT-wt-Edge_Cuts.gbr,641 B,238
VikingCube-WT,BACK-wt-Edge_Cuts.gbr,661 B,234
VikingCube-WT,BACK-wt-B_SilkS.gbr,35.08 kB,237
VikingCube-WT,BACK-wt-F_Mask.gbr,8.07 kB,233
VikingCube-WT,BACK-wt-F_Paste.gbr,5.5 kB,236
VikingCube-WT,BACK-wt-F_Cu.gbr,368.95 kB,236
VikingCube-WT,BACK-wt-F_SilkS.gbr,56.48 kB,243
VikingCube-WT,BACK-wt-In1_Cu.gbr,319.03 kB,235
VikingCube-WT,BACK-wt-In2_Cu.gbr,371.29 kB,224
VikingCube-WT,BACK-wt-B_Mask.gbr,9.67 kB,225
VikingCube-WT,BACK-wt-B_Cu.gbr,388.94 kB,227
VikingCube-WT,BACK-wt-B_Paste.gbr,6.98 kB,238
VikingCube-WT,LED-wt-B_Paste.gbr,464 B,233
VikingCube-WT,LED-wt-B_SilkS.gbr,25.82 kB,233
VikingCube-WT,LED-wt-Edge_Cuts.gbr,673 B,240
VikingCube-WT,LED-wt-F_Mask.gbr,4.7 kB,148
VikingCube-WT,LED-wt-F_Cu.gbr,121.64 kB,145
VikingCube-WT,LED-wt-F_Paste.gbr,4.07 kB,144
VikingCube-WT,LED-wt-F_SilkS.gbr,43.18 kB,141
VikingCube-WT,LED-wt-B_Cu.gbr,44.51 kB,138
VikingCube-WT,LED-wt-B_Mask.gbr,1.08 kB,145
VikingCube-MUL,COVER-er-pass-mul-B_Paste.gbr,473 B,270
VikingCube-MUL,COVER-er-pass-mul-B_SilkS.gbr,474 B,278
VikingCube-MUL,COVER-er-pass-mul-F_Cu.gbr,477 B,254
VikingCube-MUL,COVER-er-pass-mul-Edge_Cuts.gbr,746 B,264
VikingCube-MUL,COVER-er-pass-mul-F_Mask.gbr,1.11 kB,261
VikingCube-MUL,COVER-er-pass-mul-F_Paste.gbr,473 B,269
VikingCube-MUL,COVER-er-pass-mul-NPTH.drl,259 B,254
VikingCube-MUL,COVER-er-pass-mul-F_SilkS.gbr,19.51 kB,271
VikingCube-MUL,COVER-er-pass-mul-B_Cu.gbr,477 B,269
VikingCube-MUL,COVER-er-pass-mul-PTH.drl,33 B,244
VikingCube-MUL,COVER-er-pass-mul-B_Mask.gbr,1.11 kB,262
VikingCube-MUL,FRONT-er-pass-mul-B_SilkS.gbr,474 B,246
VikingCube-MUL,FRONT-er-pass-mul-Edge_Cuts.gbr,650 B,245
VikingCube-MUL,FRONT-er-pass-mul-F_Mask.gbr,1.43 kB,263
