project_id,name,path,classification,hw_score
68878307,Hdlmake,ohwr/Lacsapix/hdl-make,hardware,0
68878115,adc-lib,ohwr/mmalczak/adc-lib,not_hardware,0
68878085,urv-core,ohwr/cgentsos/urv-core,hardware,0
68878056,AIDA-2020 TLU - Gateware,ohwr/yiliu/fmc-mtlu-gw,not_hardware,0
68878021,ZIO,ohwr/dlampridis/zio,not_hardware,0
68877941,FMC Software Support,ohwr/dlampridis/fmc-sw,not_hardware,0
68877917,nomemires,ohwr/dcobas/nomemires,not hardware,0
68877906,VME64x core - msaccani,ohwr/msaccani/vme64x-core-msaccani,hardware,0
68877878,White Rabbit core collection,ohwr/kblantos/wr-cores,hardware,0
68877849,White Rabbit Switch - Gateware,ohwr/kblantos/wr-switch-hdl,not_hardware,0
68877839,Platform-independent core collection,ohwr/kblantos/general-cores,not_hardware,0
68877838,Hdlmake,ohwr/bkoropoff/hdl-make,hardware,0
68877836,Production Test Suite - base,ohwr/pvantrap/pts-base,not_hardware,0
68877603,DIOT Igloo2-based radiation-tolerant System Board,ohwr/Qbort/diot-sb-igl,hardware,0
68877580,Radiation Tolerant LED Beacon,ohwr/jdevine/rad-tol-led-beacon,not_hardware,0
68877533,AIDAInnova_TLU,ohwr/cussans/aidainnova_tlu,ambiguous,15
68877526,AIDAInnova_TLU-gw,ohwr/cussans/aidainnova_tlu-gw,not_hardware,0
68877451,AIDAInnova_TLU-hw,ohwr/cussans/aidainnova_tlu-hw,hardware,0
68877308,White Rabbit Switch - Testing,ohwr/orsonmmz/wr-switch-testing,hardware,0
68877097,hdlmaker,ohwr/garcialasheras/hdlmaker,not_hardware,0
68865749,afc-ipmi-sw,ohwr/xtca-projects/afc-ipmi-sw,not_hardware,0
68865714,amc-carrier-2-sl,ohwr/xtca-projects/amc-carrier-2-sl,hardware,0
68865703,amc-cpu-com6,ohwr/xtca-projects/amc-cpu-com6,hardware,0
68865685,amc-ubackplane-sfp,ohwr/xtca-projects/amc-ubackplane-sfp,hardware,0
68865642,ertm15-llrf-wr,ohwr/xtca-projects/ertm15-llrf-wr,hardware,0
68865595,mtca-4-timing-module,ohwr/xtca-projects/mtca-4-timing-module,empty_respository,0
68865572,utca-rtm-8-sfp,ohwr/xtca-projects/utca-rtm-8-sfp,hardware,0
68865568,wrs-fl-hw,ohwr/white-rabbit/wr-switch-hw/wrs-fl-hw,hardware,0
68865546,wrs-ljdprep-hw,ohwr/white-rabbit/wr-switch-hw/wrs-ljdprep-hw,empty_respository,0
68865541,wrs-low-jitter,ohwr/white-rabbit/wr-switch-hw/wrs-low-jitter,empty_respository,0
68865531,ptp-noposix,ohwr/white-rabbit/ppsi/ptp-noposix,hardware,0
68865522,wr-switch-hdl,ohwr/white-rabbit/wr-switch-hdl,hardware,0
68865488,crio-wr,ohwr/white-rabbit/crio-wr,hardware,0
68865452,cute-wr-dp,ohwr/white-rabbit/cute-wr-dp,hardware,0
68865422,cute-wr,ohwr/white-rabbit/cute-wr,hardware,0
68865378,gsi-timing-starter-kit,ohwr/white-rabbit/gsi-timing-starter-kit,not_hardware,0
68865303,list,ohwr/white-rabbit/list,hardware,0
68865291,maroc_csa,ohwr/white-rabbit/maroc_csa,hardware,0
68865200,tr-amc,ohwr/white-rabbit/tr-amc,not_hardware,0
68865172,tr-pmc,ohwr/white-rabbit/tr-pmc,hardware,0
68865109,wr-calibration,ohwr/white-rabbit/wr-calibration,hardware,0
68865091,wr-d3s,ohwr/white-rabbit/wr-d3s,hardware,0
68865054,wr-drf,ohwr/white-rabbit/wr-drf,empty_respository,0
68865024,wr-hsr,ohwr/white-rabbit/wr-hsr,not_hardware,0
68864983,wr-nic,ohwr/white-rabbit/wr-nic,hardware,0
68864938,wrn-robustness,ohwr/white-rabbit/wrn-robustness,hardware,0
68864896,wr-starting-kit,ohwr/white-rabbit/wr-starting-kit,not_hardware,0
68864893,wr-std,ohwr/white-rabbit/wr-std,not_hardware,0
68864807,wr-switch-hw-v4,ohwr/white-rabbit/wr-switch-hw-v4,empty_respository,0
68864796,wr-switch-sw,ohwr/white-rabbit/wr-switch-sw,not_hardware,0
68864764,wr-switch-testing,ohwr/white-rabbit/wr-switch-testing,hardware,0
68864745,wrxi,ohwr/white-rabbit/wrxi,empty_respository,0
68864728,usb-adc2k12b4ch-dac2k10b2ch-dio8ch,ohwr/usb-projects/usb-adc2k12b4ch-dac2k10b2ch-dio8ch,empty_respository,0
68864707,usb-relay-box1,ohwr/usb-projects/usb-relay-box1,hardware,0
68864694,libsfp,ohwr/sfp/sfp-plus-i2c/libsfp,empty_respository,0
68864672,radtol-led-luminaire,ohwr/rad-tol-projects/radtol-led-luminaire,empty_respository,0
68864662,radtol-led-psu,ohwr/rad-tol-projects/radtol-led-psu,empty_respository,0
68864650,fpb,ohwr/rack-19/r19-tdc-del-a/fpb,empty_respository,0
68864639,pandabox-gw,ohwr/rack-19/pandabox/pandabox-gw,not_hardware,0
68864604,pandabox-hw,ohwr/rack-19/pandabox/pandabox-hw,empty_respository,0
68864585,pandabox-sw,ohwr/rack-19/pandabox/pandabox-sw,not_hardware,0
68864578,pandabox-tst,ohwr/rack-19/pandabox/pandabox-tst,empty_respository,0
68864572,eez-psu,ohwr/rack-19/eez-psu,empty_respository,0
68864541,pda-8ch-fda-8ch,ohwr/rack-19/pda-8ch-fda-8ch,hardware,0
68864520,rf-mux-8ch,ohwr/rack-19/rf-mux-8ch,hardware,0
68864515,TimIQ Hardware,ohwr/project/timiq/timiq-hw,hardware,0
68864498,TimIQ Software,ohwr/project/timiq/timiq-sw,not_hardware,0
68864486,ARRAY,ohwr/project/array/array,not_hardware,0
68864457,ARRAY - Hardware,ohwr/project/array/array-hardware,hardware,0
68864415,ARRAY - Python Interface,ohwr/project/array/array-interface-python,not_hardware,0
68864397,ARRAY - LabVIEW Interface ,ohwr/project/array/array-interface-labview,not_hardware,0
68864376,ARRAY - Firmware,ohwr/project/array/array-firmware,not_hardware,0
68864364,White Rabbit Trigger Distribution,ohwr/project/wrtd,not_hardware,0
68864322,PCI FMC carrier with SOC ,ohwr/project/pcie-fmc-soc-vdas,hardware,21
68864312,White Rabbit,ohwr/project/white-rabbit,not_hardware,0
68863501,CernFIP,ohwr/project/cern-fip,not hardware,9
68863431,FMC PCIe Carrier PFC,ohwr/project/fmc-pci-carrier,hardware,97
68863411,VME FMC Carrier VFC,ohwr/project/fmc-vme-carrier,hardware,0
68863333,FMC Projects,ohwr/project/fmc-projects,not_hardware,0
68863284,FMC ADC 100M 14b 4cha,ohwr/project/fmc-adc-100m14b4cha,hardware,0
68863218,FMC DAC 10M 16b 4cha,ohwr/project/fmc-dac-1,not_hardware,0
68863184,HDL Core Lib,ohwr/project/hdl-core-lib,not_hardware,0
